trac_base_city_code,trac_court_name,court_city,court_address,court_state,court_zip
1,NEWARK,NEWARK,"970 BROAD STREET, ROOM 1200",NJ,07102
3,DETROIT,DETROIT,"477 MICHIGAN AVENUE, SUITE 440",MI,48226
5,BOSTON,BOSTON,"JFK FEDERAL BLDG., ROOM 320",MA,02203
6,SANTA ANA,SANTA ANA,"1241 E. DYER ROAD, SUITE 200",CA,92705
7,LAS VEGAS,LAS VEGAS,"110 N. CITY PARKWAY, STE. 400",NV,89106
8,HAGATNA,HAGATNA,203 ASPINALL AVENUE,GU,96910
13,SAN ANTONIO,SAN ANTONIO,800 DOLOROSA STREET-SUITE 300,TX,78207
14,BUFFALO,BUFFALO,"130 DELAWARE AVENUE, SUITE 300",NY,14202
16,WEST VALLEY,WEST VALLEY,"2975 S. DECKER LAKE DR., #200",UT,84119
18,CLEVELAND,CLEVELAND,"801 W. SUPERIOR AVE, STE13-100",OH,44113
19,ORLANDO,ORLANDO,500 N. Orange Avenue Ste.1100,FL,32801
20,DENVER,DENVER,"1961 STOUT STREET, STE. 3101",CO,80294
22,CHARLOTTE,CHARLOTTE,5701 EXECUTIVE CENTER DR. #400,NC,28212
24,PORTLAND,PORTLAND,"1220 SW 3RD AVENUE, SUITE 500",OR,97204
25,CONROE,CONROE,806 HILBIG RD SUITE 2-300,TX,77301
26,SAN DIEGO,SAN DIEGO,"880 FRONT STREET, SUITE 4240",CA,92101
27,CHICAGO,CHICAGO,"55 E MONROE, SUITE 1500",IL,60603
28,SEATTLE,SEATTLE,"915 2ND AVENUE, SUITE 613",WA,98174
29,DALLAS,DALLAS,"1100 COMMERCE ST., SUITE 1060",TX,75242
30,PHILADELPHIA,PHILADELPHIA,"900 MARKET STREET, SUITE 504",PA,19107
31,MEMPHIS,MEMPHIS,"80 MONROE AVE, GARDEN LVL G-10",TN,38103
32,VAN NUYS,VAN NUYS,"6230 VAN NUYS BLVD, STE 300",CA,91401
33,SAN FRANCISCO,SAN FRANCISCO,"100 MONTGOMERY ST., SUITE 800",CA,94104
35,NEW ORLEANS,NEW ORLEANS,"365 CANAL STREET, SUITE 500",LA,70130
36,BALTIMORE,BALTIMORE,"31 HOPKINS PLAZA, ROOM 440",MD,21201
38,STERLING,STERLING,"21400 RIDGETOP CIRCLE, STE 200",VA,20166
39,OAKDALE,OAKDALE,1900 E. WHATLEY RD. POBOX 750,LA,71463
40,CONCORD,CONCORD,"1855 GATEWAY BLVD., SUITE 850",CA,94520
42,CHELMSFORD,CHELMSFORD,"150 APOLLO DRIVE, STE 100",MA,01824
44,SACRAMENTO,SACRAMENTO,"650 CAPITOL MALL, SUITE 4-200",CA,95814
45,ADELANTO,ADELANTO,"10250 RANCHO RD, SUITE 201A",CA,92301
46,INDIANAPOLIS,INDIANAPOLIS,"575 N.PENNSYLVANIA ST, STE617",IN,46204
47,HARTFORD,HARTFORD,450 MAIN ST ROOM 628,CT,06103
49,KANSAS CITY,KANSAS CITY,"2345 GRAND BOULEVARD, STE 525",MO,64108
50,PHOENIX,PHOENIX,"250 N 7TH AVENUE, SUITE 300",AZ,85007
51,JENA,JENA,830 PINEHILL ROAD,LA,71342
52,IMPERIAL,IMPERIAL,2409 LA BRUCHERIE ROAD,CA,92251
53,ELOY,ELOY,1705 E. HANNA RD.,AZ,85131
54,AURORA,AURORA,3130 N. OAKLAND ST.,CO,80010
55,HYATTSVILLE,HYATTSVILLE,"3311 TOLEDO ROAD, SUITE 105",MD,20782
56,ANNANDALE,ANNANDALE,"7619 LITTLE RIVER TPK., 4TH FL",VA,22003
57,ELIZABETH,ELIZABETH,625 EVANS STREET   ROOM 148A,NJ,07201
58,OTAY MESA,OTAY MESA,7488 CALZADA DE LA FUENTE,CA,92154
59,LUMPKIN,LUMPKIN,"146 CCA ROAD, PO BOX 248",GA,31815
60,BATAVIA,BATAVIA,"4250 FEDERAL DRIVE, ROOM F108",NY,14020
61,TACOMA,TACOMA,"1623 EAST J STREET, SUITE 3",WA,98421
62,LOS FRESNOS,LOS FRESNOS,27991 BUENA VISTA BLVD,TX,78566
65,PEARSALL,PEARSALL,"566 VETERAN DRIVE., SUITE 101",TX,78061
66,OMAHA,OMAHA,1717 AVENUE H SUITE 100,NE,68110
67,LAREDO,LAREDO,1406 JACAMAN ROAD,TX,78041
69,BATON ROUGE,BATON ROUGE,451 FLORIDA ST. SUITE 500,LA,70801
70,FLORENCE,FLORENCE,3260 NORTH PINAL PARKWAY,AZ,85132
71,HONOLULU,HONOLULU,300 ALA MOANA BLVD. ROOM 8-112,HI,96850
72,TUCSON,TUCSON,"300 W. CONGRESS, SUITE 300",AZ,85701
73,GUAYNABO,GUAYNABO,#7 TABONUCO STREET - ROOM 401,PR,00968
75,HARLINGEN,HARLINGEN,"2009 W. JEFFERSON AVE, STE 300",TX,78550
76,NAPANOCH,NAPANOCH,BERME ROAD  PO BOX 800,NY,12458
78,SAIPAN,SAIPAN,"MARINA HEIGHTS II, SUITE 301",MP,96950
79,NOT KNOWN,,,,00000
80,SAN PEDRO,SAN PEDRO,"606 South Olive St, 15th Floor",CA,90014
2,LOS ANGELES - NORTH,LOS ANGELES,300 N. LOS ANGELES ST. RM 4330,CA,90012
4,NEW YORK - NYB,NEW YORK,290 BROADWAY -15th FLR,NY,10007
9,HOUSTON - GREENSPOINT,HOUSTON,"16800 GREENSPOINT PRK DR, 2 FL",TX,77060
