year,court,detained,never_detained,not_known,released,detained_rate
2000,Detroit,7.0,143.0,,15.0,0.04242424242424243
2001,Detroit,34.0,518.0,,76.0,0.054140127388535034
2002,Detroit,94.0,563.0,,132.0,0.11913814955640051
2003,Detroit,52.0,488.0,,118.0,0.0790273556231003
2004,Detroit,36.0,504.0,,92.0,0.056962025316455694
2005,Detroit,36.0,376.0,,72.0,0.0743801652892562
2006,Detroit,53.0,348.0,,70.0,0.11252653927813164
2007,Detroit,15.0,274.0,,43.0,0.045180722891566265
2008,Detroit,23.0,269.0,,46.0,0.06804733727810651
2009,Detroit,29.0,221.0,,34.0,0.10211267605633803
2010,Detroit,16.0,138.0,,27.0,0.08839779005524862
2011,Detroit,39.0,158.0,,31.0,0.17105263157894737
2012,Detroit,51.0,131.0,,30.0,0.24056603773584906
2013,Detroit,49.0,110.0,,32.0,0.25654450261780104
2014,Detroit,85.0,76.0,,23.0,0.46195652173913043
2015,Detroit,39.0,87.0,,22.0,0.2635135135135135
2016,Detroit,131.0,150.0,,40.0,0.40809968847352024
2017,Detroit,101.0,142.0,,36.0,0.36200716845878134
2018,Detroit,65.0,180.0,,26.0,0.23985239852398524
2019,Detroit,98.0,245.0,,84.0,0.22950819672131148
2020,Detroit,54.0,131.0,,47.0,0.23275862068965517
2021,Detroit,16.0,154.0,,52.0,0.07207207207207207
2022,Detroit,15.0,582.0,,74.0,0.022354694485842028
2023,Detroit,67.0,621.0,,73.0,0.08804204993429698
2024,Detroit,116.0,606.0,,65.0,0.1473951715374841
2025,Detroit,166.0,618.0,,41.0,0.2012121212121212
2026,Detroit,109.0,69.0,,3.0,0.6022099447513812
