fymon,all_cases,city,denied_cases
2000-10,68,Philadelphia,32
2000-11,46,Philadelphia,27
2000-12,56,Philadelphia,31
2001-01,59,Philadelphia,40
2001-02,42,Philadelphia,26
2001-03,39,Philadelphia,32
2001-04,56,Philadelphia,34
2001-05,55,Philadelphia,40
2001-06,42,Philadelphia,31
2001-07,35,Philadelphia,27
2001-08,39,Philadelphia,26
2001-09,34,Philadelphia,20
2001-10,32,Philadelphia,27
2001-11,41,Philadelphia,33
2001-12,25,Philadelphia,12
2002-01,46,Philadelphia,28
2002-02,48,Philadelphia,32
2002-03,44,Philadelphia,23
2002-04,66,Philadelphia,38
2002-05,66,Philadelphia,30
2002-06,66,Philadelphia,27
2002-07,46,Philadelphia,40
2002-08,57,Philadelphia,33
2002-09,51,Philadelphia,34
2002-10,46,Philadelphia,30
2002-11,38,Philadelphia,25
2002-12,42,Philadelphia,33
2003-01,58,Philadelphia,41
2003-02,80,Philadelphia,49
2003-03,82,Philadelphia,53
2003-04,93,Philadelphia,69
2003-05,70,Philadelphia,49
2003-06,67,Philadelphia,39
2003-07,65,Philadelphia,48
2003-08,61,Philadelphia,40
2003-09,60,Philadelphia,41
2003-10,68,Philadelphia,49
2003-11,61,Philadelphia,35
2003-12,64,Philadelphia,43
2004-01,66,Philadelphia,50
2004-02,69,Philadelphia,58
2004-03,115,Philadelphia,86
2004-04,67,Philadelphia,41
2004-05,78,Philadelphia,63
2004-06,54,Philadelphia,45
2004-07,50,Philadelphia,42
2004-08,69,Philadelphia,57
2004-09,74,Philadelphia,57
2004-10,65,Philadelphia,49
2004-11,62,Philadelphia,52
2004-12,52,Philadelphia,46
2005-01,72,Philadelphia,67
2005-02,77,Philadelphia,62
2005-03,59,Philadelphia,47
2005-04,72,Philadelphia,61
2005-05,63,Philadelphia,51
2005-06,62,Philadelphia,38
2005-07,63,Philadelphia,54
2005-08,89,Philadelphia,73
2005-09,92,Philadelphia,87
2005-10,45,Philadelphia,32
2005-11,69,Philadelphia,58
2005-12,61,Philadelphia,49
2006-01,54,Philadelphia,41
2006-02,60,Philadelphia,49
2006-03,109,Philadelphia,85
2006-04,72,Philadelphia,58
2006-05,41,Philadelphia,30
2006-06,86,Philadelphia,62
2006-07,64,Philadelphia,51
2006-08,60,Philadelphia,32
2006-09,52,Philadelphia,29
2006-10,56,Philadelphia,34
2006-11,40,Philadelphia,27
2006-12,41,Philadelphia,16
2007-01,73,Philadelphia,51
2007-02,25,Philadelphia,5
2007-03,44,Philadelphia,27
2007-04,45,Philadelphia,23
2007-05,38,Philadelphia,17
2007-06,33,Philadelphia,22
2007-07,22,Philadelphia,12
2007-08,20,Philadelphia,12
2007-09,22,Philadelphia,8
2007-10,31,Philadelphia,12
2007-11,35,Philadelphia,13
2007-12,19,Philadelphia,7
2008-01,35,Philadelphia,25
2008-02,27,Philadelphia,12
2008-03,8,Philadelphia,6
2008-04,20,Philadelphia,10
2008-05,28,Philadelphia,11
2008-06,24,Philadelphia,11
2008-07,41,Philadelphia,21
2008-08,30,Philadelphia,18
2008-09,24,Philadelphia,13
2008-10,39,Philadelphia,16
2008-11,20,Philadelphia,9
2008-12,20,Philadelphia,11
2009-01,27,Philadelphia,18
2009-02,16,Philadelphia,9
2009-03,20,Philadelphia,11
2009-04,21,Philadelphia,16
2009-05,11,Philadelphia,7
2009-06,12,Philadelphia,6
2009-07,21,Philadelphia,14
2009-08,30,Philadelphia,18
2009-09,16,Philadelphia,9
2009-10,13,Philadelphia,9
2009-11,21,Philadelphia,10
2009-12,20,Philadelphia,10
2010-01,21,Philadelphia,11
2010-02,12,Philadelphia,9
2010-03,23,Philadelphia,16
2010-04,21,Philadelphia,17
2010-05,24,Philadelphia,14
2010-06,24,Philadelphia,15
2010-07,10,Philadelphia,7
2010-08,27,Philadelphia,12
2010-09,12,Philadelphia,5
2010-10,25,Philadelphia,8
2010-11,21,Philadelphia,12
2010-12,16,Philadelphia,7
2011-01,15,Philadelphia,8
2011-02,25,Philadelphia,8
2011-03,19,Philadelphia,8
2011-04,20,Philadelphia,6
2011-05,28,Philadelphia,9
2011-06,25,Philadelphia,10
2011-07,18,Philadelphia,7
2011-08,31,Philadelphia,12
2011-09,30,Philadelphia,12
2011-10,25,Philadelphia,6
2011-11,13,Philadelphia,6
2011-12,20,Philadelphia,4
2012-01,21,Philadelphia,11
2012-02,31,Philadelphia,6
2012-03,33,Philadelphia,15
2012-04,29,Philadelphia,12
2012-05,12,Philadelphia,6
2012-06,24,Philadelphia,5
2012-07,22,Philadelphia,8
2012-08,23,Philadelphia,7
2012-09,17,Philadelphia,9
2012-10,29,Philadelphia,10
2012-11,10,Philadelphia,2
2012-12,13,Philadelphia,7
2013-01,14,Philadelphia,1
2013-02,20,Philadelphia,8
2013-03,17,Philadelphia,7
2013-04,21,Philadelphia,8
2013-05,24,Philadelphia,10
2013-06,27,Philadelphia,8
2013-07,18,Philadelphia,9
2013-08,24,Philadelphia,7
2013-09,16,Philadelphia,4
2013-10,12,Philadelphia,5
2013-11,17,Philadelphia,12
2013-12,18,Philadelphia,5
2014-01,14,Philadelphia,2
2014-02,15,Philadelphia,3
2014-03,17,Philadelphia,4
2014-04,24,Philadelphia,5
2014-05,20,Philadelphia,12
2014-06,21,Philadelphia,6
2014-07,13,Philadelphia,6
2014-08,17,Philadelphia,9
2014-09,15,Philadelphia,7
2014-10,25,Philadelphia,13
2014-11,14,Philadelphia,8
2014-12,11,Philadelphia,7
2015-01,11,Philadelphia,6
2015-02,16,Philadelphia,5
2015-04,16,Philadelphia,3
2015-05,4,Philadelphia,1
2015-06,13,Philadelphia,6
2015-07,6,Philadelphia,1
2015-08,9,Philadelphia,6
2015-09,9,Philadelphia,4
2015-10,10,Philadelphia,2
2015-11,7,Philadelphia,1
2015-12,7,Philadelphia,2
2016-01,8,Philadelphia,2
2016-02,16,Philadelphia,3
2016-03,20,Philadelphia,2
2016-04,15,Philadelphia,2
2016-05,14,Philadelphia,4
2016-06,13,Philadelphia,2
2016-07,16,Philadelphia,4
2016-08,11,Philadelphia,6
2016-09,19,Philadelphia,14
2016-10,17,Philadelphia,8
2016-11,31,Philadelphia,13
2016-12,9,Philadelphia,4
2017-01,34,Philadelphia,13
2017-02,37,Philadelphia,17
2017-03,31,Philadelphia,9
2017-04,30,Philadelphia,9
2017-05,18,Philadelphia,9
2017-06,32,Philadelphia,13
2017-07,15,Philadelphia,6
2017-08,41,Philadelphia,23
2017-09,46,Philadelphia,20
2017-10,28,Philadelphia,13
2017-11,46,Philadelphia,14
2017-12,37,Philadelphia,21
2018-01,39,Philadelphia,11
2018-02,54,Philadelphia,30
2018-03,53,Philadelphia,27
2018-04,55,Philadelphia,23
2018-05,38,Philadelphia,18
2018-06,41,Philadelphia,24
2018-07,21,Philadelphia,9
2018-08,34,Philadelphia,23
2018-09,34,Philadelphia,17
2018-10,91,Philadelphia,44
2018-11,104,Philadelphia,63
2018-12,65,Philadelphia,42
2019-01,12,Philadelphia,7
2019-02,70,Philadelphia,39
2019-03,102,Philadelphia,63
2019-04,107,Philadelphia,67
2019-05,111,Philadelphia,64
2019-06,110,Philadelphia,70
2019-07,61,Philadelphia,41
2019-08,106,Philadelphia,66
2019-09,95,Philadelphia,59
2019-10,117,Philadelphia,76
2019-11,106,Philadelphia,71
2019-12,92,Philadelphia,64
2020-01,110,Philadelphia,85
2020-02,136,Philadelphia,88
2020-03,69,Philadelphia,41
2020-04,25,Philadelphia,9
2020-05,6,Philadelphia,3
2020-06,47,Philadelphia,33
2020-07,29,Philadelphia,19
2020-08,54,Philadelphia,28
2020-09,78,Philadelphia,57
2020-10,65,Philadelphia,51
2020-11,85,Philadelphia,63
2020-12,40,Philadelphia,26
2021-01,59,Philadelphia,35
2021-02,74,Philadelphia,49
2021-03,81,Philadelphia,47
2021-04,112,Philadelphia,74
2021-05,75,Philadelphia,44
2021-06,70,Philadelphia,36
2021-07,65,Philadelphia,37
2021-08,45,Philadelphia,11
2021-09,63,Philadelphia,31
2021-10,53,Philadelphia,26
2021-11,56,Philadelphia,21
2021-12,60,Philadelphia,18
2022-01,48,Philadelphia,14
2022-02,66,Philadelphia,30
2022-03,78,Philadelphia,39
2022-04,69,Philadelphia,15
2022-05,43,Philadelphia,19
2022-06,58,Philadelphia,13
2022-07,78,Philadelphia,28
2022-08,81,Philadelphia,36
2022-09,145,Philadelphia,81
2022-10,111,Philadelphia,64
2022-11,118,Philadelphia,58
2022-12,86,Philadelphia,29
2023-01,76,Philadelphia,32
2023-02,104,Philadelphia,40
2023-03,102,Philadelphia,50
2023-04,71,Philadelphia,30
2023-05,79,Philadelphia,29
2023-06,79,Philadelphia,22
2023-07,77,Philadelphia,25
2023-08,73,Philadelphia,35
2023-09,74,Philadelphia,26
2023-10,97,Philadelphia,39
2023-11,56,Philadelphia,23
2023-12,50,Philadelphia,17
2024-01,52,Philadelphia,25
2024-02,75,Philadelphia,17
2024-03,76,Philadelphia,29
2024-04,83,Philadelphia,31
2024-05,63,Philadelphia,20
2024-06,75,Philadelphia,30
2024-07,48,Philadelphia,26
2024-08,80,Philadelphia,39
2024-09,68,Philadelphia,35
2024-10,97,Philadelphia,57
2024-11,92,Philadelphia,46
2024-12,67,Philadelphia,33
2025-01,83,Philadelphia,53
2025-02,135,Philadelphia,91
2025-03,154,Philadelphia,91
2025-04,171,Philadelphia,131
2025-05,155,Philadelphia,114
2025-06,179,Philadelphia,133
2025-07,205,Philadelphia,136
2025-08,144,Philadelphia,98
2025-09,251,Philadelphia,165
2025-10,298,Philadelphia,226
2025-11,233,Philadelphia,177
2025-12,80,Philadelphia,66
2000-10,2172,Nationwide,1259
2000-11,2042,Nationwide,1148
2000-12,1728,Nationwide,992
2001-01,2101,Nationwide,1273
2001-02,2022,Nationwide,1257
2001-03,2273,Nationwide,1321
2001-04,2180,Nationwide,1278
2001-05,2532,Nationwide,1462
2001-06,1850,Nationwide,1062
2001-07,2124,Nationwide,1172
2001-08,2480,Nationwide,1460
2001-09,1535,Nationwide,949
2001-10,2319,Nationwide,1404
2001-11,2157,Nationwide,1274
2001-12,1826,Nationwide,1101
2002-01,2358,Nationwide,1443
2002-02,2404,Nationwide,1447
2002-03,2471,Nationwide,1514
2002-04,2637,Nationwide,1604
2002-05,2990,Nationwide,1808
2002-06,2030,Nationwide,1222
2002-07,2815,Nationwide,1759
2002-08,2670,Nationwide,1670
2002-09,2682,Nationwide,1723
2002-10,3058,Nationwide,1878
2002-11,2490,Nationwide,1488
2002-12,2258,Nationwide,1339
2003-01,3001,Nationwide,1853
2003-02,2738,Nationwide,1685
2003-03,3063,Nationwide,1919
2003-04,3451,Nationwide,2100
2003-05,3190,Nationwide,1982
2003-06,3111,Nationwide,1925
2003-07,3208,Nationwide,1961
2003-08,2988,Nationwide,1826
2003-09,3226,Nationwide,1911
2003-10,3354,Nationwide,2065
2003-11,2438,Nationwide,1440
2003-12,2755,Nationwide,1646
2004-01,2788,Nationwide,1692
2004-02,2783,Nationwide,1663
2004-03,3329,Nationwide,1992
2004-04,3006,Nationwide,1816
2004-05,2908,Nationwide,1731
2004-06,2415,Nationwide,1463
2004-07,2644,Nationwide,1513
2004-08,2797,Nationwide,1676
2004-09,2685,Nationwide,1560
2004-10,2690,Nationwide,1510
2004-11,2595,Nationwide,1557
2004-12,2517,Nationwide,1384
2005-01,2778,Nationwide,1728
2005-02,2629,Nationwide,1612
2005-03,3109,Nationwide,1840
2005-04,2449,Nationwide,1623
2005-05,2446,Nationwide,1534
2005-06,2724,Nationwide,1652
2005-07,2078,Nationwide,1263
2005-08,2201,Nationwide,1371
2005-09,2531,Nationwide,1463
2005-10,2294,Nationwide,1228
2005-11,2556,Nationwide,1390
2005-12,2233,Nationwide,1206
2006-01,2427,Nationwide,1370
2006-02,2458,Nationwide,1314
2006-03,2938,Nationwide,1552
2006-04,2549,Nationwide,1397
2006-05,2803,Nationwide,1456
2006-06,2895,Nationwide,1569
2006-07,2343,Nationwide,1241
