fymon,all_represented,city,all_not_represented,represented_denied,not_represented_denied
2000-10,48,Philadelphia,20,15,17
2000-11,24,Philadelphia,22,12,15
2000-12,29,Philadelphia,27,14,17
2001-01,37,Philadelphia,22,25,15
2001-02,31,Philadelphia,11,18,8
2001-03,30,Philadelphia,9,24,8
2001-04,36,Philadelphia,20,24,10
2001-05,44,Philadelphia,11,31,9
2001-06,29,Philadelphia,13,21,10
2001-07,16,Philadelphia,19,13,14
2001-08,29,Philadelphia,10,18,8
2001-09,28,Philadelphia,6,16,4
2001-10,18,Philadelphia,14,14,13
2001-11,30,Philadelphia,11,22,11
2001-12,16,Philadelphia,9,5,7
2002-01,34,Philadelphia,12,17,11
2002-02,33,Philadelphia,15,19,13
2002-03,33,Philadelphia,11,19,4
2002-04,45,Philadelphia,21,23,15
2002-05,48,Philadelphia,18,20,10
2002-06,58,Philadelphia,8,26,1
2002-07,31,Philadelphia,15,27,13
2002-08,44,Philadelphia,13,25,8
2002-09,40,Philadelphia,11,27,7
2002-10,31,Philadelphia,15,17,13
2002-11,25,Philadelphia,13,16,9
2002-12,30,Philadelphia,12,23,10
2003-01,42,Philadelphia,16,28,13
2003-02,63,Philadelphia,17,32,17
2003-03,73,Philadelphia,9,44,9
2003-04,67,Philadelphia,26,50,19
2003-05,60,Philadelphia,10,39,10
2003-06,52,Philadelphia,15,26,13
2003-07,46,Philadelphia,19,31,17
2003-08,49,Philadelphia,12,29,11
2003-09,48,Philadelphia,12,31,10
2003-10,51,Philadelphia,17,38,11
2003-11,50,Philadelphia,11,27,8
2003-12,41,Philadelphia,23,23,20
2004-01,47,Philadelphia,19,34,16
2004-02,54,Philadelphia,15,44,14
2004-03,87,Philadelphia,28,69,17
2004-04,57,Philadelphia,10,34,7
2004-05,55,Philadelphia,23,42,21
2004-06,43,Philadelphia,11,35,10
2004-07,43,Philadelphia,7,35,7
2004-08,42,Philadelphia,27,35,22
2004-09,64,Philadelphia,10,50,7
2004-10,59,Philadelphia,6,45,4
2004-11,44,Philadelphia,18,34,18
2004-12,35,Philadelphia,17,30,16
2005-01,61,Philadelphia,11,57,10
2005-02,69,Philadelphia,8,55,7
2005-03,53,Philadelphia,6,42,5
