,idncase,last_judge_name,ij_final_date,case_outcome,nationality,language,represented,custody
4,8839165,"Simons, Ian R.",2019-05-30,Failure To Prosecute (DHS Cases Only),Stateless - Alien Unable To Name A Country,Arabic,False,Never Detained
5,15137359,"Simons, Ian R.",2026-01-13,Failure To Prosecute (DHS Cases Only),Jordan,Arabic,False,Never Detained
6,15131561,"Hansen, Katherine L.",2025-10-31,Failure To Prosecute (DHS Cases Only),Albania,Albanian,False,Never Detained
7,9681615,"Simons, Ian R.",2022-03-22,Failure To Prosecute (DHS Cases Only),Lebanon,Arabic,False,Never Detained
8,15116518,"Simons, Ian R.",2026-01-02,Failure To Prosecute (DHS Cases Only),Bangladesh,Bengali,False,Never Detained
15,15561558,"Hansen, Katherine L.",,,Jordan,Arabic,False,Never Detained
17,15561559,"Hansen, Katherine L.",,,Jordan,Arabic,False,Never Detained
18,14894270,"Cooper, Christopher",,,Yemen,English,False,Never Detained
23,14509295,"Simons, Ian R.",2025-06-30,Failure To Prosecute (DHS Cases Only),Mexico,Spanish,False,Never Detained
24,15561217,"Hansen, Katherine L.",,,El Salvador,Spanish,False,Never Detained
25,15249601,"Simons, Ian R.",,,Vietnam,Vietnamese,False,Never Detained
26,15509852,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
27,15511214,"Gundlach, Robert",,,Venezuela,Spanish,False,Never Detained
28,15561219,"Hansen, Katherine L.",,,El Salvador,Spanish,False,Never Detained
30,7966340,"Jebson, Mark J.",2016-08-09,Remove,Guatemala,Spanish,False,Detained Throughout
36,13684951,"Jebson, Mark J.",2024-04-10,Remove,North Korea,Korean,False,Detained Throughout
59,8773687,"Jebson, Mark J.",2019-03-19,Remove,Guatemala,Mam,False,Detained Throughout
60,8770963,"Jebson, Mark J.",2019-02-27,Remove,Honduras,Spanish,False,Detained Throughout
61,8770955,"Jebson, Mark J.",2019-03-26,Remove,Honduras,Spanish,False,Detained Throughout
68,8744580,"Jebson, Mark J.",2019-01-08,Remove,Guatemala,Spanish,False,Detained Throughout
69,8774138,"Jebson, Mark J.",2019-02-12,Remove,Guatemala,Spanish,False,Detained Throughout
72,8787595,"Jebson, Mark J.",2019-03-08,Remove,Belize,Spanish,False,Detained Throughout
73,8770928,"Jebson, Mark J.",2019-03-19,Remove,Honduras,Spanish,False,Detained Throughout
86,8921022,"Jebson, Mark J.",2019-06-07,Remove,China,Mandarin,False,Detained Throughout
88,15016366,"Simons, Ian R.",2025-06-30,Remove,Venezuela,Spanish,False,Detained Throughout
91,7873299,"Jebson, Mark J.",2016-06-13,Remove,Nigeria,English,False,Detained Throughout
99,8294883,"Jebson, Mark J.",2017-09-18,Voluntary Departure,Colombia,Spanish,False,Detained Throughout
104,8788379,"Jebson, Mark J.",2019-03-19,Remove,Honduras,Spanish,False,Detained Throughout
105,8198923,"Jebson, Mark J.",2017-05-18,Remove,Greece,English,False,Detained Throughout
109,9030129,"Simons, Ian R.",2019-08-21,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
110,8596509,"Simons, Ian R.",2018-08-20,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
111,9089029,"Simons, Ian R.",2019-08-22,Voluntary Departure,Lebanon,Unknown Language,False,Detained Throughout
112,8375152,"Jebson, Mark J.",2018-01-16,Remove,Guatemala,Spanish,False,Detained Throughout
118,8695160,"Simons, Ian R.",2018-11-15,Remove,Guatemala,Spanish,False,Detained Throughout
119,8269285,"Jebson, Mark J.",2017-08-29,Remove,Mexico,Spanish,False,Detained Throughout
120,8494674,"Jebson, Mark J.",2018-06-14,Remove,Mexico,Spanish,False,Detained Throughout
121,8430338,"Jebson, Mark J.",2018-03-14,Remove,Mexico,Spanish,False,Detained Throughout
122,14043471,"Jebson, Mark J.",2024-07-30,Remove,Guatemala,Spanish,False,Detained Throughout
123,14045607,"Jebson, Mark J.",2024-05-21,Remove,Mexico,Spanish,False,Detained Throughout
124,14509981,"Jebson, Mark J.",2024-09-30,Remove,Mexico,Spanish,False,Detained Throughout
125,8708353,"Jebson, Mark J.",2018-11-19,Remove,Mexico,Mixteco,False,Detained Throughout
126,13874589,"Jebson, Mark J.",2024-04-24,Remove,Colombia,Spanish,False,Detained Throughout
127,14113787,"Jebson, Mark J.",2024-06-04,Remove,Mexico,Spanish,False,Detained Throughout
128,14580544,"Jebson, Mark J.",2024-10-28,Remove,Mexico,Spanish,False,Detained Throughout
129,11726386,"Jebson, Mark J.",2023-05-02,Remove,Colombia,Spanish,False,Detained Throughout
130,14526737,"Jebson, Mark J.",2024-10-03,Remove,Colombia,Spanish,False,Detained Throughout
131,14447680,"Jebson, Mark J.",2024-09-10,Remove,Mexico,Spanish,False,Detained Throughout
132,13792387,"Jebson, Mark J.",2024-04-02,Remove,Honduras,Spanish,False,Detained Throughout
133,14208938,"Jebson, Mark J.",2024-07-03,Remove,Venezuela,Spanish,False,Detained Throughout
134,14208015,"Jebson, Mark J.",2024-06-24,Remove,Colombia,Spanish,False,Detained Throughout
135,14438458,"Jebson, Mark J.",2024-09-04,Remove,Mexico,Spanish,False,Detained Throughout
136,14234599,"Jebson, Mark J.",2024-07-03,Remove,Romania,Romanian-Moldovan,False,Detained Throughout
137,14354357,"Jebson, Mark J.",2024-08-16,Remove,Romania,Romanian-Moldovan,False,Detained Throughout
139,8788231,"Jebson, Mark J.",2019-02-15,Remove,Guatemala,Spanish,False,Detained Throughout
140,9497440,"Jebson, Mark J.",2020-03-31,Remove,Mexico,Spanish,False,Detained Throughout
142,8308779,"Jebson, Mark J.",2017-10-18,Remove,Poland,Polish,False,Detained Throughout
143,9666415,"Jebson, Mark J.",2020-10-07,Remove,Guatemala,Spanish,False,Detained Throughout
144,8206061,"Jebson, Mark J.",2017-05-23,Remove,Mexico,Spanish,False,Detained Throughout
145,11131931,"Jebson, Mark J.",2022-11-17,Remove,Mexico,Spanish,False,Detained Throughout
146,14850503,"Jebson, Mark J.",2025-01-30,Remove,China,Chinese Gan,False,Detained Throughout
147,8205958,"Jebson, Mark J.",2017-05-23,Remove,Canada,English,False,Detained Throughout
149,8008961,"Jebson, Mark J.",2016-10-04,Remove,United Kingdom,English,False,Detained Throughout
150,8525591,"Jebson, Mark J.",2018-06-29,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
151,9483226,"Jebson, Mark J.",2020-03-18,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
152,8767484,"Jebson, Mark J.",2019-02-07,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
154,8698745,"Jebson, Mark J.",2018-11-09,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
155,8695121,"Simons, Ian R.",2018-11-15,Voluntary Departure,Guatemala,Spanish,False,Detained Throughout
156,8961452,"Jebson, Mark J.",2019-06-14,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
158,9717170,"Jebson, Mark J.",2021-01-05,Voluntary Departure,Colombia,Spanish,False,Detained Throughout
159,8610687,"Jebson, Mark J.",2018-08-31,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
160,8523963,"Jebson, Mark J.",2018-06-14,Voluntary Departure,Colombia,Spanish,False,Detained Throughout
161,8963422,"Jebson, Mark J.",2019-06-14,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
162,8686490,"Jebson, Mark J.",2018-10-31,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
164,8788294,"Jebson, Mark J.",2019-03-19,Remove,Honduras,Spanish,False,Detained Throughout
165,8237265,"Jebson, Mark J.",2017-08-02,Voluntary Departure,Angola,French,False,Detained Throughout
167,14142116,"Jebson, Mark J.",2025-07-01,Remove,Cuba,Spanish,False,Detained Throughout
168,10066402,"Simons, Ian R.",2021-11-10,Remove,Guatemala,Spanish,False,Detained Throughout
169,13315553,"Jebson, Mark J.",2025-05-08,Remove,Ecuador,Spanish,False,Detained Throughout
170,14688972,"Jebson, Mark J.",2024-12-03,Remove,Mexico,Spanish,False,Detained Throughout
171,14943925,"Jebson, Mark J.",2025-04-28,Remove,El Salvador,Spanish,False,Detained Throughout
172,14991524,"Jebson, Mark J.",2025-06-25,Remove,Colombia,Spanish,False,Detained Throughout
173,12729507,"Jebson, Mark J.",2023-11-01,Remove,Guatemala,Kekchi,False,Detained Throughout
174,14990465,"Simons, Ian R.",2025-06-11,Remove,Mexico,Spanish,False,Detained Throughout
175,15015734,"Jebson, Mark J.",2025-07-02,Remove,Colombia,Spanish,False,Detained Throughout
176,11756937,"Jebson, Mark J.",2023-05-11,Remove,Mexico,Spanish,False,Detained Throughout
177,15112490,"Simons, Ian R.",2025-09-22,Remove,Guatemala,Spanish,False,Detained Throughout
178,15130157,"Jebson, Mark J.",2025-10-08,Remove,Mexico,Spanish,False,Detained Throughout
180,14716805,"Jebson, Mark J.",2024-12-09,Remove,Canada,English,False,Detained Throughout
181,15109142,"Jebson, Mark J.",2025-09-09,Remove,Mexico,Spanish,False,Detained Throughout
182,15109116,"Jebson, Mark J.",2025-09-09,Remove,Mexico,Spanish,False,Detained Throughout
183,15109073,"Jebson, Mark J.",2025-09-09,Remove,Mexico,Spanish,False,Detained Throughout
184,11912352,"Jebson, Mark J.",2023-06-12,Remove,Brazil,Portuguese,False,Detained Throughout
185,11384352,"Jebson, Mark J.",2023-02-24,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
189,14293046,"Jebson, Mark J.",2025-07-11,Dismissed By IJ,Venezuela,Spanish,False,Detained Throughout
190,15171261,"Jebson, Mark J.",2025-10-23,Failure To Prosecute (DHS Cases Only),Guatemala,Spanish,False,Detained Throughout
192,15398922,"Jebson, Mark J.",2026-03-05,Failure To Prosecute (DHS Cases Only),Mexico,Spanish,False,Detained Throughout
193,15240748,"Hansen, Katherine L.",2025-12-22,Failure To Prosecute (DHS Cases Only),Nicaragua,Spanish,False,Detained Throughout
194,15210896,"Jebson, Mark J.",2025-10-31,Failure To Prosecute (DHS Cases Only),South Korea,Korean,False,Detained Throughout
195,15104100,"Simons, Ian R.",2025-09-09,Failure To Prosecute (DHS Cases Only),Honduras,Spanish,False,Detained Throughout
201,15154648,"Simons, Ian R.",2025-11-03,Failure To Prosecute (DHS Cases Only),Mexico,Spanish,False,Detained Throughout
204,12068317,"Simons, Ian R.",2026-01-16,Remove,Venezuela,Spanish,False,Detained Throughout
205,12973130,"Jebson, Mark J.",2024-05-17,Remove,Colombia,Spanish,False,Detained Throughout
207,12072481,"Simons, Ian R.",2025-11-14,Remove,Mexico,Spanish,False,Detained Throughout
208,14474237,"Simons, Ian R.",2025-11-06,Remove,Nicaragua,Spanish,False,Detained Throughout
209,14014194,"Jebson, Mark J.",2025-11-10,Remove,Mexico,Spanish,False,Detained Throughout
210,14304592,"Simons, Ian R.",2025-11-17,Remove,Venezuela,Spanish,False,Detained Throughout
215,8565304,"Jebson, Mark J.",2018-07-20,Remove,Mexico,Spanish,False,Detained Throughout
216,15093587,"Jebson, Mark J.",2025-09-09,Remove,Mexico,Spanish,False,Detained Throughout
218,15114317,"Simons, Ian R.",2025-09-19,Remove,Mexico,Spanish,False,Detained Throughout
219,15166965,"Jebson, Mark J.",2025-11-10,Remove,Guatemala,Spanish,False,Detained Throughout
221,15220418,"Simons, Ian R.",2025-12-12,Remove,Venezuela,Spanish,False,Detained Throughout
223,15177081,"Simons, Ian R.",2025-11-04,Remove,Guatemala,Spanish,False,Detained Throughout
226,15126788,"Simons, Ian R.",2025-10-30,Remove,Colombia,Spanish,False,Detained Throughout
230,15126488,"Simons, Ian R.",2025-09-19,Remove,Mexico,Spanish,False,Detained Throughout
233,9241547,"Jebson, Mark J.",2019-11-13,Remove,Mexico,Spanish,False,Detained Throughout
235,11321666,"Jebson, Mark J.",2023-02-03,Remove,El Salvador,Spanish,False,Detained Throughout
236,13246332,"Simons, Ian R.",2025-10-21,Remove,Venezuela,Spanish,False,Detained Throughout
237,8820303,"Jebson, Mark J.",2019-03-20,Remove,Mexico,Spanish,False,Detained Throughout
238,15017424,"Jebson, Mark J.",2025-07-07,Remove,Nicaragua,Spanish,False,Detained Throughout
239,15113442,"Simons, Ian R.",2025-09-19,Remove,El Salvador,Spanish,False,Detained Throughout
240,8827538,"Jebson, Mark J.",2019-03-26,Remove,Mexico,Spanish,False,Detained Throughout
241,14767672,"Simons, Ian R.",2025-10-28,Remove,Guatemala,Spanish,False,Detained Throughout
244,14467056,"Jebson, Mark J.",2025-04-14,Remove,Colombia,Spanish,False,Detained Throughout
245,14495431,"Jebson, Mark J.",2024-10-03,Remove,Venezuela,Spanish,False,Detained Throughout
246,12555551,"Jebson, Mark J.",2026-02-02,Remove,Guatemala,Spanish,False,Detained Throughout
249,13798026,"Jebson, Mark J.",2024-04-19,Remove,Guatemala,Spanish,False,Detained Throughout
250,13826824,"Jebson, Mark J.",2024-04-30,Remove,Nicaragua,Spanish,False,Detained Throughout
253,15257548,"Simons, Ian R.",2025-12-31,Remove,Nicaragua,Spanish,False,Detained Throughout
256,7967738,"Jebson, Mark J.",2016-08-10,Remove,Haiti,Creole,False,Detained Throughout
259,15392686,"Jebson, Mark J.",2026-03-30,Remove,Venezuela,Spanish,False,Detained Throughout
261,14338936,"Simons, Ian R.",2026-01-15,Remove,Venezuela,Spanish,False,Detained Throughout
267,12218043,"Simons, Ian R.",2023-08-16,Remove,Zimbabwe,English,False,Detained Throughout
268,8198550,"Jebson, Mark J.",2017-05-08,Remove,China,Mandarin,False,Detained Throughout
271,15144217,"Jebson, Mark J.",2025-10-15,Remove,Honduras,Spanish,False,Detained Throughout
272,11193978,"Jebson, Mark J.",2022-11-17,Remove,Mexico,Spanish,False,Detained Throughout
273,15125962,"Jebson, Mark J.",2025-10-22,Remove,Bahamas,English,False,Detained Throughout
274,15098372,"Simons, Ian R.",2025-09-04,Remove,China,Mandarin,False,Detained Throughout
275,15191939,"Simons, Ian R.",2025-11-18,Remove,China,Mandarin,False,Detained Throughout
276,8915970,"Jebson, Mark J.",2020-02-04,Remove,Belarus,English,False,Detained Throughout
278,10028504,"Simons, Ian R.",2021-10-13,Remove,India,English,False,Detained Throughout
280,8231453,"Jebson, Mark J.",2017-06-19,Remove,Canada,English,False,Detained Throughout
281,8209484,"Jebson, Mark J.",2017-06-08,Remove,Bosnia-Herzegovina,English,False,Detained Throughout
282,15226298,"Jebson, Mark J.",2026-04-27,Remove,Guatemala,Spanish,False,Detained Throughout
283,11271924,"Simons, Ian R.",2025-10-28,Remove,Mexico,Spanish,False,Detained Throughout
284,14753121,"Simons, Ian R.",2026-01-08,Remove,Venezuela,Spanish,False,Detained Throughout
286,13242377,"Jebson, Mark J.",2024-07-03,Remove,Venezuela,Spanish,False,Detained Throughout
287,14257808,"Simons, Ian R.",2025-06-18,Remove,Peru,Spanish,False,Detained Throughout
288,13085856,"Jebson, Mark J.",2025-10-28,Remove,Peru,Spanish,False,Detained Throughout
292,11886612,"Jebson, Mark J.",2025-11-04,Remove,Guatemala,Spanish,False,Detained Throughout
293,12058839,"Jebson, Mark J.",2024-07-24,Remove,Venezuela,Spanish,False,Detained Throughout
295,12982774,"Simons, Ian R.",2026-01-08,Remove,Nicaragua,Spanish,False,Detained Throughout
296,15249182,"Jebson, Mark J.",2025-12-02,Voluntary Departure,Venezuela,Spanish,False,Detained Throughout
297,15189655,"Simons, Ian R.",2025-11-21,Voluntary Departure,Guatemala,Spanish,False,Detained Throughout
300,15161926,"Simons, Ian R.",2025-10-21,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
301,15172561,"Simons, Ian R.",2025-12-03,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
305,8731998,"Jebson, Mark J.",2018-12-27,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
309,15355308,"Jebson, Mark J.",2026-02-24,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
310,15381911,"Jebson, Mark J.",2026-03-20,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
311,15114123,"Simons, Ian R.",2025-09-18,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
312,15307521,"Jebson, Mark J.",2026-01-20,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
315,14954378,"Jebson, Mark J.",2025-07-18,Voluntary Departure,Venezuela,Spanish,False,Detained Throughout
316,15510584,"Jebson, Mark J.",2026-05-19,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
318,8444434,"Jebson, Mark J.",2018-03-27,Voluntary Departure,Mexico,Spanish,False,Detained Throughout
321,14838211,"Krishnan, Jill K.",,,Honduras,Spanish,False,Detained Throughout
331,15429242,"Jebson, Mark J.",,,Canada,English,False,Detained Throughout
333,11462125,"Krishnan, Jill K.",,,Cuba,Spanish,False,Detained Throughout
334,14970739,"Hansen, Katherine L.",,,Guatemala,Spanish,False,Detained Throughout
337,7858581,"Jebson, Mark J.",2016-03-16,Remove,Guatemala,Spanish,False,Detained Throughout
338,7858615,"Jebson, Mark J.",2016-03-17,Remove,Guatemala,Spanish,False,Detained Throughout
341,7968742,"Jebson, Mark J.",2016-09-22,Remove,Kirghizia (Kyrgyzstan),Kirghiz,False,Detained Throughout
342,7996644,"Jebson, Mark J.",2016-09-15,Remove,Mexico,Spanish,False,Detained Throughout
343,7996658,"Jebson, Mark J.",2016-09-22,Remove,Mexico,Spanish,False,Detained Throughout
347,8129575,"Jebson, Mark J.",2017-03-21,Remove,China,English,False,Detained Throughout
364,10589485,"Simons, Ian R.",2023-06-05,Dismissed By IJ,Cuba,Spanish,False,Never Detained
365,13583664,"Hansen, Katherine L.",2025-10-09,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
367,12703215,"Simons, Ian R.",2024-08-29,Dismissed By IJ,Cuba,Spanish,False,Never Detained
370,12703216,"Simons, Ian R.",2024-08-29,Dismissed By IJ,Cuba,Spanish,False,Never Detained
371,11952748,"Simons, Ian R.",2024-09-10,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
372,11952768,"Simons, Ian R.",2024-09-10,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
373,11064467,"Jebson, Mark J.",2023-04-19,Dismissed By IJ,Cuba,Spanish,False,Never Detained
386,11061023,"Jebson, Mark J.",2023-04-19,Dismissed By IJ,Cuba,Spanish,False,Never Detained
387,11315426,"Simons, Ian R.",2023-06-14,Dismissed By IJ,Cuba,Spanish,False,Never Detained
389,15092403,"Hansen, Katherine L.",2025-09-22,Dismissed By IJ,Mexico,English,False,Never Detained
391,12593704,"Simons, Ian R.",2024-03-19,Dismissed By IJ,Cuba,Spanish,False,Never Detained
394,11259072,"Jebson, Mark J.",2023-05-10,Dismissed By IJ,Cuba,Spanish,False,Never Detained
397,12266501,"Simons, Ian R.",2023-10-13,Dismissed By IJ,Cuba,Spanish,False,Never Detained
399,9883661,"Simons, Ian R.",2022-04-22,Dismissed By IJ,Haiti,Creole,False,Never Detained
402,14247217,"Cooper, Christopher",2026-05-11,Dismissed By IJ,Colombia,Spanish,False,Never Detained
404,13253589,"Hansen, Katherine L.",2025-08-08,Dismissed By IJ,Honduras,Spanish,False,Never Detained
410,10775399,"Simons, Ian R.",2024-03-26,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
416,11221373,"Simons, Ian R.",2023-05-31,Dismissed By IJ,Cuba,Spanish,False,Never Detained
419,10743605,"Simons, Ian R.",2024-01-16,Dismissed By IJ,Cuba,Spanish,False,Never Detained
420,11585864,"Hansen, Katherine L.",2024-11-01,Dismissed By IJ,El Salvador,Spanish,False,Never Detained
421,12509554,"Hansen, Katherine L.",2025-03-24,Dismissed By IJ,Mexico,Spanish,False,Never Detained
422,10976968,"Jebson, Mark J.",2023-04-05,Dismissed By IJ,Cuba,Spanish,False,Never Detained
424,11937160,"Simons, Ian R.",2024-05-15,Dismissed By IJ,Cuba,Spanish,False,Never Detained
425,10991174,"Jebson, Mark J.",2023-04-05,Dismissed By IJ,Cuba,Spanish,False,Never Detained
426,10929931,"Simons, Ian R.",2023-05-16,Dismissed By IJ,Cuba,Spanish,False,Never Detained
427,11187766,"Simons, Ian R.",2024-10-01,Dismissed By IJ,Cuba,Spanish,False,Never Detained
431,12766163,"Hansen, Katherine L.",2026-04-03,Dismissed By IJ,Mexico,Spanish,False,Never Detained
433,10994289,"Simons, Ian R.",2023-08-25,Dismissed By IJ,Cuba,Spanish,False,Never Detained
434,10508822,"Simons, Ian R.",2024-03-05,Dismissed By IJ,Venezuela,Spanish,False,Never Detained
435,11582319,"Hansen, Katherine L.",2025-07-01,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
442,11916332,"Simons, Ian R.",2023-11-17,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
443,12478169,"Hansen, Katherine L.",2025-08-14,Dismissed By IJ,Honduras,Spanish,False,Never Detained
444,14631829,"Hansen, Katherine L.",2026-05-26,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
449,14221635,"Hansen, Katherine L.",2024-10-18,Dismissed By IJ,Honduras,Spanish,False,Never Detained
453,13869378,"Hansen, Katherine L.",2026-04-09,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
456,14154878,"Hansen, Katherine L.",2026-05-14,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
458,12623459,"Hansen, Katherine L.",2025-07-01,Dismissed By IJ,Honduras,Spanish,False,Never Detained
460,14876632,"Hansen, Katherine L.",2026-04-09,Dismissed By IJ,Mexico,Spanish,False,Never Detained
462,13869419,"Hansen, Katherine L.",2026-04-09,Dismissed By IJ,Nicaragua,Spanish,False,Never Detained
464,14876642,"Hansen, Katherine L.",2026-04-09,Dismissed By IJ,Mexico,Spanish,False,Never Detained
466,12509555,"Hansen, Katherine L.",2025-03-24,Dismissed By IJ,Mexico,Spanish,False,Never Detained
468,9883663,"Simons, Ian R.",2022-04-22,Dismissed By IJ,Haiti,Creole,False,Never Detained
470,14160031,"Hansen, Katherine L.",2026-05-14,Dismissed By IJ,Honduras,Spanish,False,Never Detained
471,11804260,"Simons, Ian R.",2024-06-11,Dismissed By IJ,Cuba,Spanish,False,Never Detained
472,14485306,"Simons, Ian R.",2025-09-26,Dismissed By IJ,Nicaragua,Spanish,False,Never Detained
474,8842197,"Simons, Ian R.",2022-05-03,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
475,8842170,"Simons, Ian R.",2022-05-03,Dismissed By IJ,Guatemala,Spanish,False,Never Detained
479,12167197,"Simons, Ian R.",2024-11-26,Dismissed By IJ,Cuba,Spanish,False,Never Detained
480,12313794,"Hansen, Katherine L.",2024-11-05,Dismissed By IJ,Cuba,Spanish,False,Never Detained
